台灣頻道,#genre#
民視台灣,http://www.336699.live:1935/blockfour/4gtv-4gtv001.stream/playlist.m3u8
民視,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
民視第一,http://www.336699.live:1935/blockfour/4gtv-4gtv003.stream/playlist.m3u8
民視綜藝,http://www.336699.live:1935/blockfour/4gtv-4gtv004.stream/playlist.m3u8
智林體育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
TVBS,http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
中視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
CHY電影,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
HITS,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
GinX,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
華視新聞資訊,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
豬哥亮歌廳秀,http://www.336699.live:1935/blockfour/4gtv-4gtv006.stream/playlist.m3u8
中天新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
時尚運動,http://www.336699.live:1935/blockfour/4gtv-4gtv014.stream/playlist.m3u8
八大精彩,http://www.336699.live:1935/blockfour/4gtv-4gtv034.stream/playlist.m3u8
八大綜合,http://www.336699.live:1935/blockfour/4gtv-4gtv039.stream/playlist.m3u8
中視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
華視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
公視,http://www.336699.live:1935/blockfour/4gtv-4gtv042.stream/playlist.m3u8
客家電視,http://www.336699.live:1935/blockfour/4gtv-4gtv043.stream/playlist.m3u8
靖洋戲劇,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
靖天日本,http://www.336699.live:1935/blockfour/4gtv-4gtv047.stream/playlist.m3u8
采昌,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
靖天歡樂,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天映晝,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖洋卡通,http://www.336699.live:1935/blockfour/4gtv-4gtv057.stream/playlist.m3u8
靖天電影,http://www.336699.live:1935/blockfour/4gtv-4gtv061.stream/playlist.m3u8
靖天育樂,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
靖天國際,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
中視菁采,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
